,model,prompt,generated_text
0,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  प्रवेश पाएनन्, तर अब उनी नेपाल फर्केर नेपाल फर्किए । नेपालमा एक पटक उनको आमा र बच्चाको बारेमा सोधिएको प्रश्नको जवाफबाट उनले आफ्नो आमा र बच्चाको परिवार नै बुझ्न पाएको बताए । थन छु स्वाइ"
1,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  कक्षा ८ मा अध्ययन गरी सोही स्कुलमा कक्षा १५ सम्म भर्ना भइ अध्ययन गरेका छन् । उनीले यसअघि १२ कक्षा पास गरिसकेका छन् । विद्यालय भवन निर्माणका लागि उनको परिवारले आर्थिक सहयोग गरेका छन् उनी भन्छन्– ‘एक त कक्षा ८ सम्म मात्रै अध्ययन गरेकी
2,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  पढाइ छाडेर अन्यत्र गएपछि उनीहरूले पढाइ छाडिहाले । उनले कक्षा ८ मा पढ्ने एक जना छात्रालाई ट्युसन पढाउने जिम्मा पाए । “के छ त?” ऊ पनि बोलेकी थिइन् । प्रदेश १
3,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  आफ्ना बच्चाको अवस्थाबारे जानकारी गराउने र आफ्नो शिशुको स्वास्थ्य समेत राम्रो हुने विश्वास गरिन्छ । ‘श्रीमती हुँदा पनि हस्तमैथुन गर्छु, कतै यो रोग त हैन,’ यो सामग्री शेयर गर्नुहोस् शेयर गर्ने"
4,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  आफ्ना बालबालिकालाई विद्यालय पठाएका थिए । काठमाडौं – प्रधानमन्त्री केपी शर्मा ओलीले समृद्धिको अभियानमा सरकार जुटेको बताएका छन् । प्रधानमन्त्री ओलीलाई स्वागत गर्दै उनले विकासको गतिलाई अझै तीव्र पार्न सरकारले गति लिने विश्वास व्यक्त गरे । काठमाडौं, ३० माघ ।"
5,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  यस्तो गरेका हुन सक्छन्? ० चुनावका बेलासम्म मैले माओवादीप्रति गद्दारी गर्नुभएको हो र अहिले आएर पनि पार्टी नेतृत्वमाथि कुनै प्रश्न उठाउनुभएको छैन? ‘आजसम्म म यो
6,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  कक्षा सातदेखि पढ्दै आएको समयमा उनी भागेर गएपछि उनी भागेर स्कुल गएकी हो । त्यो बेला उनलाई स्कुल जाने बेला पक्राउ गरिएको थियो । शेयर गर्नुहोस् हाम्रो बारेमा अहिले पनि म मास्क लगाएर उभिन
7,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  आफ्नो कक्षा पूरा गर्न नसक्ने भएकोले पढ्न नपाएको जिकिर गरे । त्यस्तै सांसद सरिता पोखरेलले राष्ट्रिय जनमोर्चा, नेमकिपा, नेपाल मजदुर किसान पार्टीका, विवेकशील पार्टीकोलगायतका दलको समर्थनले मात्र समाजवादी फोरम निर्वाचनमा सहभागी हुन सक्ने धारणा व्यक्त गरे । उनले नेमकिपा सरकारमा सहभागी"
8,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  कक्षा ११ मा अध्ययन गरेका थिए । त्यही मौका छोपेर उनले त्यहाँ पनि अध्ययनमा नै विताए । जिल्ला प्रहरी कार्यालय बारा ‘राजस्व संकलनमा ५० लाख रकमको खर्च हुन्छ, कतिले त पैसा नै फिर्ता गरे’, अध्यक्ष"
9,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  एक पटक भर्ना लियो। कलेजका स्टाफ अधिकृतको आवेदनमा विद्यार्थीको भर्नालाई एकचोटि ल क्याम्पसमै पढ्न पाउने व्यवस्था मिलाइयो। प्लस टु पछि कलेजमा पनि धेरै विद्यार्थी भर्ना भए तर पछि कलेजले भर्नाको स्वीकृति पाएन। त्यो
10,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  बलात्कारको प्रतिकार गर्दा १५ वर्षीया बालिका बलात्कृत भएका छन् । बालिका चिच्याउँदै गर्दा बालिका चिच्याउँदै चिच्याउँदै चिच्याउँदै चिच्याए । बालिका चिच्याउँदा चिच्याउन लाग्दा चिच्याउन नसक्ने अवस्थामा थिए । आवाज सुनेर चिच्याउँदै उल्टै बालिका चिच्य
11,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  आत्महत्या गरेको प्रहरीले जनाएको छ । तर यो पनि जापान, कोरिया, भियतनाम वा मेक्सिकोमा काठमाडौं। नेपाल कम्युनिष्ट पार्टी (नेकपा) अध्यक्ष पुष्पकमल दाहाल प्रचण्ड पछिल्लो... यी गीतले हसाउन, रुवा"
12,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  ‘डिभोर्स’ गरेका थिएनन् । जिल्ला सभापतिहरुको भेलामा महामन्त्री शशांक कोइरालाले पार्टीलाई अबको एक बर्ष भित्रमा महाधिवेशन सम्पन्न गर्नको लागि आफु प्रतिवद्ध रहने बताउनु भयो । हाम्रो बारे काठमाडौँ ।
13,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,स्कूलमा किशोरले  ललाइफकाई जवरजस्ती गर्ने गरेको खुल्न आएको छ । नयाँ पुस्ता नेपाल प्रहरी आईजीपी खनाल आक्रमक! आँखामा पट्टि बाँधेका छौं की? कानमा तेल हाल्न... नेपाली पात्रो तपाईको
14,Sakonii/distilgpt2-nepali,स्कूलमा किशोरले ,"स्कूलमा किशोरले  यस्तो कक्षा दिन पाउँछन् । किनभने, उसले आफ्ना छोराछोरीको नाम र नम्बर पनि राख्न पाउँछ । किनभने, उसको नामसमेत स्कुलमै हुन्छ । ऊ आफ्नो थर पनि राख्ने । केटा साथीकै रूपमा विद्यालय जाने र पढाइ पूरा गर्ने ।"
15,Sakonii/distilgpt2-nepali,घरमा किशोरले ,घरमा किशोरले  घर छोडेदेखि नै छोरीहरुलाई पढाउने जिम्मेवारीमा छु भन्दै एक आपसमा प्रेम विवाह गरेकी रहिछन् । उनीहरुको पहिलो विवाह यही असार १३ गते भयो । त्यसपछि विवाहकै लागि आमाछोरी मण्डपमा आएका रहेछन् भने उनीहरुको दोश्रो विवाह यही असार
