word	dim1	dim2	cluster
दि	18.364967346191406	5.054661273956299	1
आर	18.158613204956055	3.73738431930542	1
रेल्वे	17.001182556152344	7.511185169219971	1
रोयल	17.99168586730957	5.64195442199707	1
स्टेट	16.997543334960938	6.225914478302002	1
प्ले	17.845460891723633	5.420647144317627	1
केरुङ	16.146743774414062	8.005987167358398	2
नटआउट	15.058192253112793	2.567711591720581	3
जितपछि	17.536169052124023	4.719648361206055	2
गण	14.5509672164917	7.513424873352051	2
लभ	18.395998001098633	3.519134283065796	1
समूहसँग	16.53093147277832	6.140027046203613	2
रेलवे	17.082416534423828	7.394123077392578	1
रसुवाको	15.99235725402832	8.248501777648926	2
भर्सेस	17.224626541137695	3.5693376064300537	1
इज	18.310592651367188	3.8765132427215576	1
लीलामणि	15.077247619628906	5.138332366943359	3
मार्केटिङ	18.1932373046875	6.165444374084473	1
धोनीले	14.883731842041016	2.4849679470062256	3
बंगाल	16.655292510986328	7.361030101776123	2
अखण्ड	16.155445098876953	5.3105149269104	2
धोनी	14.894631385803223	2.528353691101074	3
फ्रन्ट	18.047954559326172	6.396739482879639	1
गणपति	14.420555114746094	7.300642013549805	3
कंगना	15.212031364440918	3.3915913105010986	2
विथ	18.533960342407227	4.586779594421387	1
गणका	14.36097526550293	7.482561111450195	3
समाचारपत्रमा	17.006425857543945	4.853200912475586	3
नेताद्वय	15.098045349121094	5.143709659576416	3
नट	18.196596145629883	3.824155807495117	1
लिम्बुवान	16.223546981811523	5.280273914337158	2
काउन्सिलमा	17.508127212524414	5.891566276550293	1
क्वालिटी	18.47005271911621	4.882534027099609	1
समारोहबीच	15.13615894317627	6.49954891204834	2
बराह	14.945640563964844	7.877694129943848	2
‘छक्का	18.30927276611328	3.3058390617370605	0
ट्रस्ट	18.62811279296875	5.634905815124512	1
सप्लायर्स	18.214765548706055	6.987462043762207	1
ग्रिड	17.22808837890625	7.29617977142334	1
पिन	18.16404151916504	4.685512065887451	1
महेन्द्रसिंह	14.866950988769531	2.5942704677581787	3
एक्जिम	17.12232208251953	7.178077697753906	1
आइसिटी	18.311111450195312	5.489245891571045	1
एमएस	18.090787887573242	6.63353157043457	1
विजयपुर	15.391508102416992	7.951445579528809	2
क्राइम	14.515243530273438	6.472621917724609	1
कीट	16.560787200927734	6.384960174560547	2
मिट	17.577266693115234	6.015259742736816	1
इजलासका	15.207281112670898	5.72697639465332	2
राइजिङ	18.329875946044922	5.482839107513428	1
देउवासहित	15.00289535522461	5.491805076599121	2
