Word 1:,Word 2:,Word 3:,Word 4:,Word 5:,Word 6:,Word 7:,Word 8:,Word 9:,Word 10:
Impulsive,Gullible ,Pubescent,Juvenile,Adolescent,Impressionable,Easily coerced,Angsty,Exploring ,Curious
High School,Puberty,Party's,Grades,College,,,,,
high school,hyper judgmental,overthinking,new drivers,minimal bills,mostly unmotivated,detail lacking,unproductive,semi interested,self oriented
,,,,,,,,,
high school,student,13,14,15,16,17,18,19,ignorant
Moody,Puberty,Attention,Important,Bond,Misunderstood,Error,Complicated,Self-discovery,Maturing
obnoxious,arrogant,overly-confident,impulsive,emotional,ambitious,restless,impatient,argumentative,independent
access,middle school,high school,,,,,,,
Confused,Changing,Emotional,Exposed,Questioning,Lost,Realizing,Maturing,Reckless,Different
Impulsive,Self-conscious,Moody,Social,Inexperienced,Adolscence,Blossoming,Immature,Social,Grumpy
self-conscious,moody,rebellious ,idealistic ,highschool,energetic ,vulnerable ,rowdy ,sulky,frisky 
Highschoolers,ranked,college admissons,clubs,puberty,friend groups,profile stalking,hormones,spurt,edits
Immature,Idealistic,Ignorant,Impulsive,Self-concious,Attentive,Unmotivated,Irresponsible,Curious,Resilient
