word	dim1	dim2	cluster
विभिन्न	4.607503890991211	2.856139659881592	4
पूर्व	4.088864326477051	3.5450730323791504	4
काठमाडौँ	3.462987184524536	1.662255883216858	4
link	7.039722442626953	3.762228012084961	2
सिंह	1.0941057205200195	3.163403034210205	3
आकर्षण	4.716493129730225	2.4842777252197266	4
जनकपुर	2.533282518386841	2.635634422302246	4
For	7.117933750152588	3.8298745155334473	2
भारतका	4.316372394561768	3.0483663082122803	4
any	7.091323375701904	4.281388759613037	2
हेलिकप्टर	4.654949188232422	3.960339069366455	4
बिभिन्न	4.751932144165039	2.776045799255371	4
सफाइ	4.0949859619140625	3.9380900859832764	4
कोरिया	3.448791265487671	5.740590572357178	4
user	7.001928329467773	4.461230278015137	2
नोभेम्बर	0.1244664192199707	6.652617931365967	4
ललितपुर	3.1249215602874756	1.6881422996520996	4
New	7.562148094177246	4.103414535522461	2
आवेदन	4.0191969871521	6.181283950805664	4
एण्ड	2.7479398250579834	7.42288875579834	0
गर्नुहोस	5.702737808227539	5.287432670593262	4
एन्ड	2.7312586307525635	7.617546081542969	0
नेपालीमा	1.6215301752090454	4.504637241363525	4
आ.प्र	5.960021018981934	4.164595127105713	2
गच्छदार	0.7660746574401855	2.7808382511138916	4
क्लिक	5.943279266357422	5.342721462249756	2
ट्याक्सी	4.301307201385498	6.531332969665527	4
दूत	4.433077812194824	4.179839611053467	0
रमेश	0.281301349401474	2.8075714111328125	3
काली	2.089529037475586	2.6168487071990967	3
राय	0.9110016226768494	3.030726671218872	3
यार्सागुम्बा	4.391555309295654	3.4355695247650146	4
प्रमुखमा	1.598401665687561	2.3564958572387695	4
भैरव	2.223068952560425	2.1476030349731445	3
ओहोदाको	4.660264015197754	4.098843574523926	4
अग्र्यानिक	4.530502796173096	3.9242727756500244	4
केन्द्रहरुको	4.954054832458496	2.9145028591156006	4
भक्तपुरलाई	4.524454116821289	3.7019901275634766	4
अपडेट	4.887793064117432	6.43069314956665	4
किशोर	0.49939849972724915	2.757951259613037	3
डाउनलोड	5.961818218231201	5.345625877380371	4
अभियानका	3.943147659301758	4.140369415283203	4
विद्रोही	2.8153951168060303	4.1582417488098145	4
नायब	0.3210141658782959	2.2989449501037598	4
गभर्नर	3.0507023334503174	5.4618635177612305	3
start	6.860281944274902	3.7726593017578125	2
द्वितीय	0.359224796295166	4.140742301940918	4
